model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,36,8.098,1,1,1,12,12,3,95.517,3.998,4185.471,8.098,0.253,8292.188,259.131,250.15,18.845,2.934,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.187,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,13.097,1,1,1,36,36,2,95.517,4.944,5153.229,13.097,0.546,13411.451,558.81,202.273,18.845,7.118,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,120,16.96,1,1,1,60,60,2,95.517,5.912,6143.493,16.96,0.707,17367.552,723.648,169.147,18.845,9.921,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.687,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,70,10.502,1,1,1,14,14,5,142.074,5.993,6272.913,10.502,0.438,10753.843,448.077,166.855,12.669,2.283,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.315,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,168,16.96,1,1,1,84,84,2,95.517,6.88,7133.757,16.96,0.707,17367.552,723.648,145.344,18.845,11.934,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.437,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,78,10.171,1,1,1,26,26,3,142.074,6.897,7197.705,10.171,0.636,10414.694,650.918,144.987,12.669,3.685,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.065,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,108,12.375,1,1,1,108,108,1,95.517,7.848,8124.021,12.375,0.773,12671.918,791.995,127.415,18.845,13.451,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.187,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,160,18.095,1,1,2,40,40,4,142.074,7.952,8276.97,18.095,0.754,18528.829,772.035,125.758,12.669,4.917,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.44,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,208,21.123,1,1,2,52,52,4,142.074,8.856,9201.762,21.123,0.88,21630.157,901.257,112.921,12.669,5.74,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.19,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,136,13.623,1,1,1,136,136,1,95.517,8.978,9280.011,13.623,0.851,13950.321,871.895,111.384,18.845,14.808,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.562,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,56,5.596,1,1,1,8,8,7,235.19,8.995,9437.075,5.596,0.35,5730.673,358.167,111.17,7.653,0.869,16,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.147,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,256,22.804,1,1,2,64,64,4,142.074,9.76,10126.554,22.804,0.95,23351.501,972.979,102.463,12.669,6.41,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.94,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,160,14.467,1,1,1,160,160,1,95.517,9.946,10270.275,14.467,0.904,14814.208,925.888,100.541,18.845,15.725,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.312,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,140,12.76,1,1,2,14,14,10,235.19,9.867,10329.131,12.76,0.532,13066.65,544.444,101.347,7.653,1.387,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,43.897,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,400,32.807,1,1,3,80,80,5,142.074,10.965,11359.269,32.807,1.025,33594.573,1049.83,91.2,12.669,7.132,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,44.94,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,184,15.162,1,1,1,184,184,1,95.517,10.914,11260.539,15.162,0.948,15525.478,970.342,91.623,18.845,16.48,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.062,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,260,20.663,1,1,3,20,20,13,235.19,10.739,11221.187,20.663,0.646,21159.014,661.219,93.12,7.653,1.821,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,47.647,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,460,34.206,1,1,3,92,92,5,142.074,11.869,12284.061,34.206,1.069,35027.251,1094.602,84.254,12.669,7.577,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,48.69,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,208,15.742,1,1,1,208,208,1,95.517,11.883,12251.826,15.742,0.984,16119.931,1007.496,84.157,18.845,17.111,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,44.812,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,84,6.348,1,1,1,28,28,3,235.19,11.901,12409.913,6.348,0.794,6500.352,812.544,84.024,7.653,2.3,8,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,52.647,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,520,34.206,1,1,3,104,104,5,142.074,12.773,13208.853,34.206,1.069,35027.251,1094.602,78.291,12.669,7.959,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,52.44,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,232,16.236,1,1,1,232,232,1,95.517,12.851,13242.09,16.236,1.015,16625.828,1039.114,77.817,18.845,17.648,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,48.562,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,96,6.888,1,1,1,32,32,3,235.19,12.483,13005.299,6.888,0.861,7053.005,881.626,80.112,7.653,2.506,8,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,55.147,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,600,34.206,1,1,3,120,120,5,142.074,13.978,14441.568,34.206,1.069,35027.251,1094.602,71.541,12.669,8.392,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,57.44,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,256,16.66,1,1,1,256,256,1,95.517,13.819,14232.354,16.66,1.041,17060.127,1066.258,72.365,18.845,18.109,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b300_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,52.312,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,440,29.004,1,1,5,40,40,11,235.19,13.645,14194.025,29.004,0.906,29700.014,928.125,73.287,7.653,2.866,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,60.147,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,31,1.996,1,1,1,1,1,31,421.42,13.936,14677.948,1.996,0.062,2044.314,63.885,71.758,4.271,0.07,32,1,1,1,1,1,tp1pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,67.229,sglang,0.5.10,b300_sxm,1,1,1,1,1,tp1pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,66.574,sglang,0.5.10,b300_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,640,34.206,1,1,3,128,128,5,142.074,14.581,15058.437,34.206,1.069,35027.251,1094.602,68.584,12.669,8.581,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b300_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,59.94,sglang,0.5.10,b300_sxm,0.0
