tag,aic_model,op_name,op_order,latency_ms,source,batch_size,fresh_len,prefix_len,tp_size,x_tokens,kvcache_quant_mode,fmha_quant_mode,gemm_quant_mode
req1_equal_fresh_regular_b4_f2048_p0,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,4,2048,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f2048_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,4,2048,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f2048_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,4,2048,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f2048_p0,DeepSeekModel,context_attention,4,1.3545455932617188,silicon,4,2048,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f2048_p0,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,4,2048,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f512_p0,DeepSeekModel,context_downscale_gemm,1,0.0630510951959059,silicon,4,512,0,1,2048,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f512_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.12611210346221924,silicon,4,512,0,1,2048,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f512_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.07440256371217616,silicon,4,512,0,1,2048,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f512_p0,DeepSeekModel,context_attention,4,0.2273871898651123,silicon,4,512,0,1,2048,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b4_f512_p0,DeepSeekModel,context_proj_gemm,5,0.4009973208109538,silicon,4,512,0,1,2048,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b8_f1_p0,DeepSeekModel,context_downscale_gemm,1,0.012985891592101177,silicon,8,1,0,1,8,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b8_f1_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.02166415702283772,silicon,8,1,0,1,8,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b8_f1_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.01259111077372545,silicon,8,1,0,1,8,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b8_f1_p0,DeepSeekModel,context_attention,4,0.05051519870758057,silicon,8,1,0,1,8,fp8,bfloat16,fp8_block
req1_equal_fresh_regular_b8_f1_p0,DeepSeekModel,context_proj_gemm,5,0.04823377728462219,silicon,8,1,0,1,8,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p0,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p0,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p0,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p0,DeepSeekModel,context_attention,4,3.731515121459961,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p0,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,1,8192,0,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p1024,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,1,8192,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p1024,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,1,8192,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p1024,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,1,8192,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p1024,DeepSeekModel,context_attention,4,4.845178686017292,silicon,1,8192,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p1024,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,1,8192,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p10500,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,1,8192,10500,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p10500,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,1,8192,10500,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p10500,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,1,8192,10500,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p10500,DeepSeekModel,context_attention,4,12.317192688586383,silicon,1,8192,10500,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p10500,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,1,8192,10500,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p32000,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,1,8192,32000,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p32000,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,1,8192,32000,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p32000,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,1,8192,32000,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p32000,DeepSeekModel,context_attention,4,33.014792332757594,silicon,1,8192,32000,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p32000,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,1,8192,32000,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p4096,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,1,8192,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p4096,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,1,8192,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p4096,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,1,8192,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p4096,DeepSeekModel,context_attention,4,7.012393527560763,silicon,1,8192,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p4096,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,1,8192,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p8192,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,1,8192,8192,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p8192,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,1,8192,8192,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p8192,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,1,8192,8192,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p8192,DeepSeekModel,context_attention,4,10.277642440795898,silicon,1,8192,8192,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b1_f8192_p8192,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,1,8192,8192,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b2_f4096_p4096,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,2,4096,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b2_f4096_p4096,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,2,4096,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b2_f4096_p4096,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,2,4096,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b2_f4096_p4096,DeepSeekModel,context_attention,4,5.624468421936035,silicon,2,4096,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b2_f4096_p4096,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,2,4096,4096,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f2048_p1024,DeepSeekModel,context_downscale_gemm,1,0.2456398527120191,silicon,4,2048,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f2048_p1024,DeepSeekModel,context_q_b_proj_gemm,2,0.488262538037269,silicon,4,2048,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f2048_p1024,DeepSeekModel,context_kv_b_proj_gemm,3,0.3102047981000414,silicon,4,2048,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f2048_p1024,DeepSeekModel,context_attention,4,2.317383151584201,silicon,4,2048,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f2048_p1024,DeepSeekModel,context_proj_gemm,5,1.5217955907185872,silicon,4,2048,1024,1,8192,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f512_p512,DeepSeekModel,context_downscale_gemm,1,0.0630510951959059,silicon,4,512,512,1,2048,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f512_p512,DeepSeekModel,context_q_b_proj_gemm,2,0.12611210346221924,silicon,4,512,512,1,2048,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f512_p512,DeepSeekModel,context_kv_b_proj_gemm,3,0.07440256371217616,silicon,4,512,512,1,2048,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f512_p512,DeepSeekModel,context_attention,4,0.38524678945541385,silicon,4,512,512,1,2048,fp8,bfloat16,fp8_block
req1_equal_prefix_regular_b4_f512_p512,DeepSeekModel,context_proj_gemm,5,0.4009973208109538,silicon,4,512,512,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b1_f4096_p32000,DeepSeekModel,context_downscale_gemm,1,0.12663643679687892,silicon,1,4096,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b1_f4096_p32000,DeepSeekModel,context_q_b_proj_gemm,2,0.24925715938892237,silicon,1,4096,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b1_f4096_p32000,DeepSeekModel,context_kv_b_proj_gemm,3,0.14118546091653164,silicon,1,4096,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b1_f4096_p32000,DeepSeekModel,context_attention,4,15.418831452654137,silicon,1,4096,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b1_f4096_p32000,DeepSeekModel,context_proj_gemm,5,0.7397253248426648,silicon,1,4096,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p16384,DeepSeekModel,context_downscale_gemm,1,0.12663643679687892,silicon,2,2048,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p16384,DeepSeekModel,context_q_b_proj_gemm,2,0.24925715938892237,silicon,2,2048,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p16384,DeepSeekModel,context_kv_b_proj_gemm,3,0.14118546091653164,silicon,2,2048,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p16384,DeepSeekModel,context_attention,4,7.5807755654131315,silicon,2,2048,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p16384,DeepSeekModel,context_proj_gemm,5,0.7397253248426648,silicon,2,2048,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p32000,DeepSeekModel,context_downscale_gemm,1,0.12663643679687892,silicon,2,2048,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p32000,DeepSeekModel,context_q_b_proj_gemm,2,0.24925715938892237,silicon,2,2048,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p32000,DeepSeekModel,context_kv_b_proj_gemm,3,0.14118546091653164,silicon,2,2048,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p32000,DeepSeekModel,context_attention,4,14.575202683642855,silicon,2,2048,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b2_f2048_p32000,DeepSeekModel,context_proj_gemm,5,0.7397253248426648,silicon,2,2048,32000,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p16384,DeepSeekModel,context_downscale_gemm,1,0.12663643679687892,silicon,4,1024,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p16384,DeepSeekModel,context_q_b_proj_gemm,2,0.24925715938892237,silicon,4,1024,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p16384,DeepSeekModel,context_kv_b_proj_gemm,3,0.14118546091653164,silicon,4,1024,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p16384,DeepSeekModel,context_attention,4,7.534459706803703,silicon,4,1024,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p16384,DeepSeekModel,context_proj_gemm,5,0.7397253248426648,silicon,4,1024,16384,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p8192,DeepSeekModel,context_downscale_gemm,1,0.12663643679687892,silicon,4,1024,8192,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p8192,DeepSeekModel,context_q_b_proj_gemm,2,0.24925715938892237,silicon,4,1024,8192,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p8192,DeepSeekModel,context_kv_b_proj_gemm,3,0.14118546091653164,silicon,4,1024,8192,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p8192,DeepSeekModel,context_attention,4,4.088800682683431,silicon,4,1024,8192,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f1024_p8192,DeepSeekModel,context_proj_gemm,5,0.7397253248426648,silicon,4,1024,8192,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f512_p8192,DeepSeekModel,context_downscale_gemm,1,0.0630510951959059,silicon,4,512,8192,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f512_p8192,DeepSeekModel,context_q_b_proj_gemm,2,0.12611210346221924,silicon,4,512,8192,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f512_p8192,DeepSeekModel,context_kv_b_proj_gemm,3,0.07440256371217616,silicon,4,512,8192,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f512_p8192,DeepSeekModel,context_attention,4,1.9856990743790146,silicon,4,512,8192,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b4_f512_p8192,DeepSeekModel,context_proj_gemm,5,0.4009973208109538,silicon,4,512,8192,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f256_p4096,DeepSeekModel,context_downscale_gemm,1,0.0630510951959059,silicon,8,256,4096,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f256_p4096,DeepSeekModel,context_q_b_proj_gemm,2,0.12611210346221924,silicon,8,256,4096,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f256_p4096,DeepSeekModel,context_kv_b_proj_gemm,3,0.07440256371217616,silicon,8,256,4096,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f256_p4096,DeepSeekModel,context_attention,4,1.1761766812487808,silicon,8,256,4096,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f256_p4096,DeepSeekModel,context_proj_gemm,5,0.4009973208109538,silicon,8,256,4096,1,2048,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f512_p4096,DeepSeekModel,context_downscale_gemm,1,0.12663643679687892,silicon,8,512,4096,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f512_p4096,DeepSeekModel,context_q_b_proj_gemm,2,0.24925715938892237,silicon,8,512,4096,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f512_p4096,DeepSeekModel,context_kv_b_proj_gemm,3,0.14118546091653164,silicon,8,512,4096,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f512_p4096,DeepSeekModel,context_attention,4,2.4714428121137746,silicon,8,512,4096,1,4096,fp8,bfloat16,fp8_block
req1_large_prefix_regular_b8_f512_p4096,DeepSeekModel,context_proj_gemm,5,0.7397253248426648,silicon,8,512,4096,1,4096,fp8,bfloat16,fp8_block
