model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,3,0.108,1,1,1,1,1,3,3635.318,24.762,28966.844,0.108,0.003,110.223,3.444,40.385,0.495,0.039,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.306,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,10,0.303,1,1,1,10,10,1,3635.318,29.715,34033.763,0.303,0.019,309.944,19.372,33.653,0.495,0.329,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.064,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,16,0.423,1,1,1,16,16,1,3635.318,34.003,38420.387,0.423,0.026,433.357,27.085,29.409,0.495,0.46,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.236,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,0.446,1,1,1,28,28,1,3635.318,39.692,44240.234,0.446,0.028,456.192,28.512,25.194,0.495,0.69,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.579,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,15,0.339,1,1,1,5,5,3,3561.653,39.827,44304.674,0.339,0.021,347.628,21.727,25.108,0.505,0.123,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,39.491,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,0.887,1,1,2,11,11,4,3561.653,44.631,49219.166,0.887,0.037,908.165,37.84,22.406,0.505,0.241,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,41.834,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,32,0.694,1,1,2,32,32,1,3635.318,41.511,46101.071,0.694,0.029,710.328,29.597,24.09,0.495,0.754,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,27.361,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,22,0.396,1,1,1,22,22,1,3561.653,49.975,54686.078,0.396,0.049,405.094,50.637,20.01,0.505,0.43,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,46.131,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,40,0.749,1,1,2,40,40,1,3635.318,48.057,52797.629,0.749,0.031,766.853,31.952,20.808,0.495,0.814,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.923,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,90,1.364,1,1,3,30,30,3,3561.653,54.774,59595.455,1.364,0.057,1396.224,58.176,18.257,0.505,0.535,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,49.256,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,48,0.809,1,1,2,48,48,1,3635.318,53.367,58229.759,0.809,0.034,828.088,34.504,18.738,0.495,0.879,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,30.486,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,1.364,1,1,3,32,32,3,3561.653,55.974,60823.055,1.364,0.057,1396.224,58.176,17.866,0.505,0.559,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,rtx_pro_6000_server,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,50.037,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,56,0.861,1,1,2,56,56,1,3635.318,58.51,63491.048,0.861,0.036,881.787,36.741,17.091,0.495,0.936,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.048,sglang,0.5.10,rtx_pro_6000_server,0.0
meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,0.425,1,1,1,4,4,7,3054.908,59.398,63819.062,0.425,0.027,435.241,27.203,16.836,0.589,0.066,16,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,rtx_pro_6000_server,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,73.467,sglang,0.5.10,rtx_pro_6000_server,0.0
