model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w
Qwen/Qwen3-32B,4096,1024,0,39,8.81,1,1,1,13,13,3,94.993,3.982,4168.579,8.81,0.275,9021.358,281.917,251.155,18.949,3.192,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,14.343,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,72,13.312,1,1,1,36,36,2,94.993,4.864,5070.865,13.312,0.555,13631.898,567.996,205.607,18.949,7.235,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,17.937,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,7,1.269,1,1,1,1,1,7,141.352,4.959,5214.409,1.269,0.04,1299.128,40.598,201.654,12.734,0.197,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.252,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,128,17.054,1,1,1,64,64,2,94.993,5.966,6198.211,17.054,0.711,17463.398,727.642,167.616,18.949,10.486,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,22.312,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,75,11.334,1,1,1,15,15,5,141.352,5.95,6228.202,11.334,0.472,11606.426,483.601,168.078,12.734,2.464,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,24.627,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,88,11.451,1,1,1,88,88,1,94.993,6.911,7164.946,11.451,0.716,11726.07,732.879,144.699,18.949,12.447,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.062,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,84,10.941,1,1,1,28,28,3,141.352,6.904,7204.144,10.941,0.684,11203.215,700.201,144.839,12.734,3.964,16,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.69,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,112,12.822,1,1,1,112,112,1,94.993,7.856,8131.681,12.822,0.801,13129.769,820.611,127.295,18.949,13.937,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,29.812,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,160,18.481,1,1,2,40,40,4,141.352,7.785,8105.407,18.481,0.77,18924.503,788.521,128.446,12.734,5.022,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.44,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,30,3.381,1,1,1,2,2,15,234.072,7.964,8381.244,3.381,0.106,3462.144,108.192,125.563,7.69,0.245,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.397,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,224,22.481,1,1,2,56,56,4,141.352,8.96,9307.432,22.481,0.937,23020.667,959.194,111.604,12.734,6.109,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,20.556,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.44,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,136,13.898,1,1,1,136,136,1,94.993,8.801,9098.416,13.898,0.869,14231.06,889.441,113.628,18.949,15.106,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,12.803,sglang,0.5.10,b200_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,33.562,sglang,0.5.10,b200_sxm,0.0
Qwen/Qwen3-32B,4096,1024,0,63,6.35,1,1,1,9,9,7,234.072,8.926,9365.37,6.35,0.397,6502.236,406.39,112.034,7.69,0.986,16,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,36.157,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,40.772,sglang,0.5.10,b200_sxm,0.0
